,text,selected_text,sentiment,Age of User,Country
23794,person_aww person_homesick i feel you Instant Message homesick for my nd home campp,homesick,negative,60-70,Iceland
23795,excited about cwpm date_tomorrow only cardinal_one member is going but still its a good start,"excited about cwpm tomorrow.. only one member is going but still , its a good start",positive,70-100,India
23796,i ve had to do laundry for date_the date_last date_two date_days,i`ve had to do laundry for the last two days,neutral,0-20,Indonesia
23797,my work buddy left time_early time_today so now Instant Message all lonely keep lookin at the time and its barely time_only time_a time_minute time_later than last time,lonely.,negative,21-30,Iran
23798,i think you d look cute in the beanie hat,cute,positive,31-45,Iraq
23799,i love the sunshine and the happiness it brings,i love,positive,46-60,Ireland
23800,sheboygan teekay other kids fight angus ryan mall mcdonalds high party beer pong drink drive home time_fun time_night,fun night,positive,60-70,Israel
23801,no one wants a virtualkiss,no one wants a #virtualkiss,neutral,70-100,Italy
23802,yay my train is late it starts here but its org_NUMBER minutes late arriving from gpe_london in the ordinal_first place,"yay, my train is late... it starts here but it`s 15 mins late arriving from london in the first place",negative,0-20,Jamaica
23803,trully a awful day,awful,negative,21-30,Japan
23804,ik i feel soo bad for them,feel sooo bad,negative,31-45,Jordan
23805,actually was planning on working at NUMBERth but alas meetings kaiboshed that plan,actually was planning on working @ w12th but alas meetings kaiboshed that plan,neutral,46-60,Kazakhstan
23806,lunch yes a date nope,"lunch, yes. a date, nope.",neutral,60-70,Kenya
23807,omg i know i give myself a stroke everytime i go getting mad at them quietly with the windows rolled up,omg! i know!  i give myself a stroke everytime i go getting mad at them.,negative,70-100,Kiribati
23808,so how are you doing time_this time_morning,so how are you doing this morning ?,neutral,0-20,Kuwait
23809,that was flippin sweet dudes thanks for sharing,es. thank,positive,21-30,Kyrgyzstan
23810,gosh i hate it my school will start in date_monday too and my classes will start org_NUMBER and end at org_NUMBERNUMBER ill never had a chance,hate,negative,31-45,Laos
23811,have to return my sideways meds and bills,****,negative,46-60,Latvia
23812,URL gpe_germany loves you haha,"germany loves you,",positive,60-70,Lebanon
23813,heading into glasgow for a rehearsal for my upcoming show,heading into glasgow for a rehearsal for my upcoming show,neutral,70-100,Lesotho
23814,true but if i do nt put a case on it ill break it in date_a date_week do nt worry ill find a way to make it work,true but if i don`t put a case on it i`ll break it in a week.  don`t worry ill find a way to make it work.,neutral,0-20,Liberia
23815,aahh soo sweet i miss that age soo much,aaaaaahhhhhhhh !!!!!  soooooooo sweeeeeeet !!!!!!  i miss that age ..... soooo much,neutral,21-30,Libya
23816,the idiom does nt ring a bell eh person_hahaha person_yare really thinking of food nope actually in the bathroom teehee,the idiom?? doesn`t ring a bell eh? hahaha. y`are really thinking of food?! nope. actually in the bathroom. teehee,neutral,31-45,Liechtenstein
23817,i am so hungry and there is no food for me to steal,no food,negative,46-60,Lithuania
23818,leaving nola date_today counting down the time_seconds til i start crying love this place so much,l i start crying. love this place so much.,positive,60-70,Luxembourg
23819,stoped broadcasting on blogtv because they all left and was on my own and cardinal_one one came any way extreme droll,they all left,negative,70-100,Madagascar
23820,those are nt even the old dollsthey are the new ones that look like sailor moon,those aren`t even the old dolls...they are the new ones that look like sailor moon!,neutral,0-20,Malawi
23821,haha what s up person_matt,haha,positive,21-30,Malaysia
23822,ever seen the television show dead like me i died and became a grim reaper taking peoples souls after accidents,ever seen the tv show dead like me? i died and became a grim reaper. taking people`s souls after accidents,neutral,31-45,Maldives
23823,i m bored at work,i`m bored at work,negative,46-60,Mali
23824,just saw my boo he went back to work now time to do my hair but its going to rain what the fk,wtf,negative,60-70,Malta
23825,ill call you on my home phone to your home phone after dinner though because Instant Message almost ready to eat is that ok,"ill call you on my home phone to your home phone    after dinner tho! coz im almost ready to eat, is that ok?",neutral,70-100,Marshall Islands
23826,its chilly and lonley and this livingroom,lonley,positive,0-20,Mauritania
23827,i seriously need to live somewhere fabulously queer i miss being around people,i seriously need to live somewhere fabulously queer. i miss being around **** people,negative,21-30,Mauritius
23828,i got a coach purse,i got a coach purse,neutral,31-45,Mexico
23829,phped running successfuly via wine now to get ems running,"#phped 5.6 running successfuly via #wine , now to get ems running",neutral,46-60,Micronesia
23830,i looked all cute too,cute,positive,60-70,Moldova
23831,loves it that date_the date_first date_monday date_of date_may is a bank holiday URL,loves it th,positive,70-100,Monaco
23832,just arrived at on about org_NUMBER fellows i ca nt see a girl,"just arrived at , on about 150 fellows i can`t see a girl!",neutral,0-20,Mongolia
23833,but cover your sneezes with a tissue for love of god my germaphobeness has significantly increased since joining healthcare,love,positive,21-30,Montenegro
23834,wearing glasses gives me a headache,headache.,negative,31-45,Morocco
23835,i could but wo nt get here in time before my vegas trip so ill still look like a someone who is new there,a noob,negative,46-60,Mozambique
23836,is my son he gets my vote date_today because he has grown into a loving caring soulfull man who loves his mum,who loves his mum,positive,60-70,Myanmar (formerly Burma)
23837,follow me please,follow me please!,neutral,70-100,Namibia
23838,so sorry to hear that i lost cardinal_two hard drives date_this date_year i know the feeling,sorry,negative,0-20,Nauru
23839,not impressed it might go away if you complain too much x,not impressed..,negative,21-30,Nepal
23840,why do nt any of my friends ever miss me why do NUMBER year old pervs like me why ca nt i be a shape shifter,miss,negative,31-45,Netherlands
23841,more pictures it was such a pretty day URL amkwod fb,pretty,positive,46-60,New Zealand
23842,yealooks like it issorry about nice try gettin in touchwas hectic,.sorry abt nt gettin in touch..was hectic,negative,60-70,Nicaragua
23843,oh my God that s awesome this is the ordinal_first time ever i m not seeing it date_the date_day it comes out demi is taking over date_my date_day haha,awesome.,positive,70-100,Niger
23844,you do nt know norp_harajuku lovers,u don`t know harajuku lovers?,neutral,0-20,Nigeria
23845,i have runny nose i ca nt breathe terrible feeling,i have runny nose... i can`t breathe.. terrible feeling...,negative,21-30,North Korea
23846,time_morning world back to the office after longg weekend,morning world! back to the office after longgggggggg weekend,neutral,31-45,North Macedonia
23847,time to mow the lawn,time to mow the lawn.,neutral,46-60,Norway
23848,aight person_pau auau heading to the blaisdell arena for the ladies of the org_NUMBERs concert cheehee awwrrite,"aight, pau au`au... heading to the blaisdell arena for the ladies of the 80`s concert!!! cheehee... awwrrite!!!",neutral,60-70,Oman
23849,what time_a time_fun time_night,what a fun night,positive,70-100,Pakistan
23850,person_NUMBERs are the st,4x4s are the shizz,neutral,0-20,Palau
23851,shoutout to reyah my fellow philly homegirl were both making the best of hard situations push pray until something happens much love,shoutout to reyah my fellow philly homegirl we`re both making the best of hard situations  (push) pray until something happens.. much love,neutral,21-30,Palestine State
23852,just at home not much going on had date_a date_long date_day,"just at home, not much going on, had a long day",neutral,31-45,Panama
23853,video is not available to us foreigners,video is not available to us foreigners,neutral,46-60,Papua New Guinea
23854,i absolutely love person_mike person_watts from sexy heroes,love,positive,60-70,Paraguay
23855,at the airport waiting,at the airport waiting,neutral,70-100,Peru
23856,i know people say that power naps are good for you all the time but i kind of always miss the alarm,"i know people say that power naps are good for you all the time, but i kinda always miss the alarm",neutral,0-20,Philippines
23857,URL hi you are pretty man i can not upload more pictures here for some reason you wrote you wish to find a women,you are pretty man..,positive,21-30,Poland
23858,i want one so bad get one for me,i want one so bad  get one for me,positive,31-45,Portugal
23859,stupid shopping bags left a red mark on my arm,stupid,negative,46-60,Qatar
23860,Instant Message really excited can not wait,im really excited! cant wait,positive,60-70,Romania
23861,i want some pineapple i miss my baby,i miss my baby,positive,70-100,Russia
23862,woke up at loc_NUMBERamnow NUMBERNUMBERam and no clue what to do,woke up at 8:30am....now 10:30am and no clue what to do....?,neutral,0-20,Rwanda
23863,hello following on recommendatiion of,hello!  ! following on recommendatiion of  !,neutral,21-30,Saint Kitts and Nevis
23864,will terminator be on date_next date_weeks trs by chance and i do not mean date_tuesdays release but the next,"will terminator be on next week`s trs by chance? and i dont mean tuesday`s release, but the next",neutral,31-45,Saint Lucia
23865,on that note i do not feel missed,i do not feel missed.,positive,46-60,Saint Vincent and the Grenadines
23866,ha Instant Message ready but that i can not believe she had the balls to call me haha wtf,"ha **** im ready.  but **** that ****, i cant believe she had the balls to call me. haha wtf!",neutral,60-70,Samoa
23867,gain an instant follower just use the tag in a tweet wtf lesson learned summer of todd to get a new official tag,"gain an instant follower, just use the #**** tag in a tweet. wtf? lesson learned, summer of todd to get a new *official* tag.",neutral,70-100,San Marino
23868,thank you for the follow date_friday love,thank you for the follow friday love,positive,0-20,Sao Tome and Principe
23869,happy mothers day to all moms out there i just played tongits a while ago,happy,positive,21-30,Saudi Arabia
23870,someone keyed my car,someone keyed my car.,negative,31-45,Senegal
23871,drinking cordial yes Instant Message bored,im bored,negative,46-60,Serbia
23872,what the fk at facebook spam saying that my dad is my secret admirer,wtf at facebook spam,negative,60-70,Seychelles
23873,i need to speak with but i left my phone at home,i need to speak with ! but i left my phone at home,neutral,70-100,Sierra Leone
23874,thanks i m going to the laker game time_tonight time_second org_NUMBER i love la,i love la!,positive,0-20,Singapore
23875,i want to see my bud mel miss person_hur person_loads,miss hur loads,negative,21-30,Slovakia
23876,it did nt rain lightly misted though,it didn`t rain.  lightly misted though.,neutral,31-45,Slovenia
23877,oh god they re breaking down so much plaster what are they doing in there i like walls thanks,thanks!,positive,46-60,Solomon Islands
23878,at minibar listening to politics maybe some tech starups soon,at minibar... listening to politics  maybe some tech starups soon?,neutral,60-70,Somalia
23879,resting had a whole day of walking,resting had a whole day of walking,neutral,70-100,South Africa
23880,roll me in your arms because i can not remember ever falling this hard avalanche by do not care,i cant remember ever falling this hard..,negative,0-20,South Korea
23881,goddamnit if we live in an age of constant communication why ca nt anyone return a text,goddamnit!,negative,21-30,South Sudan
23882,such a great idea,great,positive,31-45,Spain
23883,sourish limbs is preventing me from good game out on a date_friday not happy i have nt been on at NUMBERam for a v long timeeven more so on a fri,not happy.,negative,46-60,Sri Lanka
23884,congratulations to the as ugh we still have until date_the date_end date_of date_june,"congrats to the a`s!! ugh, we still have til the end of june",positive,60-70,Sudan
23885,at work do not feel like bein in this today,@ work do not feel like bein in dis **** today,negative,70-100,Suriname
23886,i do nt know what to say except hugs,i don`t know what to say except *hugs*,neutral,0-20,Sweden
23887,let me know how it goes i m praying ummph i still ca nt believe it,i still can`t believe it.,positive,21-30,Switzerland
23888,yay we will have to get together soon and do something,yay!,positive,31-45,Syria
23889,good morning tweeties,good,positive,46-60,Tajikistan
23890,org_drat all my land boots died at once i think of boots like parsley one going to seed date_the date_other date_first date_season what to do now,died at once.,negative,60-70,Tanzania
23891,sweetie if you refuse to offend who will we expect it nay we count on it,"sweetie, if you refuse to offend, who will?  we expect it -- nay, we count on it.",neutral,70-100,Thailand
23892,person_hey person_kelvin person_my person_days been fantastic so far were getting ready for a family mothers day function shortly,fantastic,positive,0-20,Timor-Leste
23893,hurray date_summertime starts date_today meaning i only have to work until for pm instead of org_NUMBER until date_august yay,yay!,positive,21-30,Togo
23894,thanks man i really appreciate the kind words,really appreciate,positive,31-45,Tonga
23895,packing i do nt like it,packing  i don`t like it..,negative,46-60,Trinidad and Tobago
23896,trying to sell my good morning stock,trying to sell my gm stock,neutral,60-70,Tunisia
23897,is there a way to block followers i have no idea who you are sorry,sorry,negative,70-100,Turkey
23898,yeah man been a while since i heard you spittin,"yeah man, been a while since i heard you spittin`.",neutral,0-20,Turkmenistan
23899,date_monday is here cardinal_one more day,"monday is here, one more day",neutral,21-30,Tuvalu
23900,good luck and say hi for me,gl and say hi for me!,neutral,31-45,Uganda
23901,URL its so pretty the girls must love you a whole lot happy birthday again,its so pretty!,positive,46-60,Ukraine
23902,i hate when i see pregnant women smokingg its soo irresponsible and selfish its org_saad ultimately the baby is the one who suffers,i hate when i see pregnant women smokinggg!!!!,negative,60-70,United Arab Emirates
23903,misses just playing i do not know what to do and iv given myself a headache thinking about it just makes me want to cry,"misses jp  i do not know what to do and iv given myself a headache thinking about it, just makes me want to cry",negative,70-100,United Kingdom
23904,i will press that ignore button,ignore,negative,0-20,United States of America
23905,just got back from the doctor i do nt need surgery yayy but my knees are still not going to get better,just got back from the doctor... i don`t need surgery yayyy!!!!!! but my knees are still ****  not gonna get better,neutral,21-30,Uruguay
23906,fully understands why these cats have cabin fever holy i really want to be outside,fully understands why these cats have cabin fever! holy ****.. i really wanna be outside!!,neutral,31-45,Uzbekistan
23907,mourning venus ordinal_third round loss,mourning,negative,46-60,Vanuatu
23908,no code i think coined the phrase hottie switchfoot guy for person_tim hsg for short person_wendy,no code i think  coined the phrase hottie switchfoot guy for tim hsg for short  ~wendy~,neutral,60-70,Venezuela
23909,happy mothers day you are beautiful,happy,positive,70-100,Vietnam
23910,leaving now do not miss me too much tweetbeaks love,leaving now  dont miss me too much tweetbeaks <3,negative,0-20,Yemen
23911,actually i could do with going to weight watchers,actually i could do with going to weight watchers,neutral,21-30,Zambia
23912,let me google that for you URL,let me google that for you http://lmgtfy.com/,neutral,31-45,Zimbabwe
23913,aww lovely hope you had a great mothers day our little mother hen did you get in contact with sharn,aww lovely!,positive,46-60,Afghanistan
23914,waiting to go to the movies later for date_my date_th date_month boored,booored.,negative,60-70,Albania
23915,sorry was that mean,sorry,negative,70-100,Algeria
23916,is feeling good kind of tired miss him ca nt wait for grad date_this date_weekend,good..,positive,0-20,Andorra
23917,i ve already been cleaning for time_over time_an time_hour so much more URL,i`ve already been cleaning for over an hour!!! so much more http://twitpic.com/67gzx,neutral,21-30,Angola
23918,_ person_erincharde yeah as an afterthought,_erincharde yea as an afterthought,neutral,31-45,Antigua and Barbuda
23919,thanks synn,thanks,positive,46-60,Argentina
23920,besides feeling sicksome things have made me feel particularly happy,besides feeling sick...some things have made me feel particularly happy,neutral,60-70,Armenia
23921,hey you know the sub on digg i said i needed help on soon well its up now and would love it if you could digg it please kaushik,hey u know the sub on digg i said i needed help on soon? well it`s up now n wud love it if u could digg it pls  kaushik,neutral,70-100,Australia
23922,well person_kris is making me a sick panda,making me a sick panda,negative,0-20,Austria
23923,oh time_tonight is a good night,tonight is a good night,positive,21-30,Azerbaijan
23924,i found a link on wwecom URL stinks,d stinks,negative,31-45,Bahamas
23925,ughh i do nt feel good,ughhhhhhhh i don`t feel good,negative,46-60,Bahrain
23926,i might give it another go,i might give it another go.,positive,60-70,Bangladesh
23927,thanks it was really fun to do i do love those org_NUMBERs romancescomedies though that one could have used more comedy i am going to,thanks!,positive,70-100,Barbados
23928,i work until org_NUMBERNUMBER,i work til 10:15...,neutral,0-20,Belarus
23929,my head is hurting,hurting,negative,21-30,Belgium
23930,hello i am your biggest fan and i really carnt wait till loc_new loc_moon comes out good luck too you and all the cast filming,! good luck,positive,31-45,Belize
23931,my twitter was born on law_NUMBER law_feb NUMBER date_today at this point of time for may org_NUMBER NUMBERpm gmt i have org_NUMBER tweets including this one,"my twitter was born on 12 feb 09. today, at this point of time, 4 may 09, 3:56pm (gmt+8), i have 805 tweets (including this one).",neutral,46-60,Benin
23932,done with facebook off to jamlegend,done with facebook. off to jamlegend,neutral,60-70,Bhutan
23933,and this is better for me than a snickers bar or hersheys walmonds which i use to b addicted to before i miss them laughing out loud,miss,negative,70-100,Bolivia
23934,so much happier despite my looming departure,"happier,",positive,0-20,Bosnia and Herzegovina
23935,wow emcs new site is different,"wow, emc`s new site is - different",neutral,21-30,Botswana
23936,been helping exstudent with uni assignment via skype got to love a connected world now sudying game design even better,love,positive,31-45,Brazil
23937,super hungry dominos or martabak both tempting and fattening,super hungry... dominos or martabak... both tempting and fattening,neutral,46-60,Brunei
23938,going to have bfast now,going to have bfast now,neutral,60-70,Bulgaria
23939,no strange each time we return i feel like i have come home and yet i have no norp_spanish blood that i know of,"no! strange, each time we return i feel like i have come home and yet i have no spanish blood that i know of....",neutral,70-100,Burkina Faso
23940,need to get a hand,need to get a hand,neutral,0-20,Burundi
23941,finished breaking dawn time_last time_night i managed to finish those org_NUMBER pages in date_days it was so good i m sad that i m done with twilight saga,it was so good! i`m sad that i`m done w/ twilight saga,neutral,21-30,Cï¿½te d'Ivoire
23942,is off date_today and going to go shopping tminus NUMBER days until cuuba,is off today and gonna go shopping!! t-minus 22 days til cuuuba!!,neutral,31-45,Cabo Verde
23943,time_morning football date_today thinking of learning some applescript,morning  football today! thinking of learning some applescript,neutral,46-60,Cambodia
23944,you re very welcome i love reviewing free applications as much as downloadingusing them,! i love reviewing free apps,positive,60-70,Cameroon
23945,date_last date_nights paper writing sessionstill not done i need to prioritize better,still not done.,negative,70-100,Canada
23946,always come up when we have the money least its the rotten law of averages,it`s the rotten law of averages,negative,0-20,Central African Republic
23947,do nt make me smite you and yeah yeah it really does no cuties for me,. no cuties for me,negative,21-30,Chad
23948,me kelly share the same last name would not that be sweet if we were related,sweet,positive,31-45,Chile
23949,watching the seeker,watching the seeker,neutral,46-60,China
23950,just got to gpe_la miss person_hawaii already dang,dang,negative,60-70,Colombia
23951,you re a real i m going to slap you in public,you`re a real ****. i`m gonna slap you in public.,negative,70-100,Comoros
23952,i ca nt feel date_the date_weekend fever anymore when everyday is a day off,i can`t feel the weekend fever anymore when everyday is  a day off,negative,0-20,Congo (Congo-Brazzaville)
23953,at the hospital date_today then shopping with mom love you so much,love you so much.,positive,21-30,Costa Rica
23954,i missed the sun as was too busy gettin hot and bothered in the shops will have to make up for it at date_the date_weekend x,i missed the sun as was too busy gettin hot and bothered in the shops  will have to make up for it at the weekend!,neutral,31-45,Croatia
23955,nothings better then going out for norp_chinese at the supperinn with ma favorite cousins at am,with ma fave cousins at,positive,46-60,Cuba
23956,goodmorning you all i woke up to early,goodmorning,positive,60-70,Cyprus
23957,all the money in the world could never make me as happy as being a stayathome mom with my son,all the money in the world could never make me as happy as being a stay-at-home mom with my son,positive,70-100,Czechia (Czech Republic)
23958,no deal i want it as well as my netbook and iphone please,no deal i want it as well as my netbook and iphone please,neutral,0-20,Democratic Republic of the Congo
23959,date_last date_day of school and last concert of my life wow can you say emotional Instant Message really going to miss mhs had graduation practice date_today,can you say emotional? im really gonna miss mh,negative,21-30,Denmark
23960,i had navy blue under my black nailpolish for a while and i think it stained my nails a little,i had navy blue under my black nailpolish for a while and i think it stained my nails a little..,neutral,31-45,Djibouti
23961,goodnight world goodnight eddplant,goodnight world.... goodnight eddplant.,neutral,46-60,Dominica
23962,could be getting sacked soon not good,not good,negative,60-70,Dominican Republic
23963,finally got all overdue books out of the little room and into my now overstuffed back pack,finally got all 7 overdue books out of the little room and into my now overstuffed back pack!,neutral,70-100,Ecuador
23964,happy moms day,happy moms day,positive,0-20,Egypt
23965,vision of love play now i had the vision of love and it was aaoouoouoouu that youturn outtoo mariah this your part,love',positive,21-30,El Salvador
23966,its been doing it for date_two date_days we have a comcast technician scheduled for org_moro time_morning,it`s been doing it for two days. we have a comcast technician scheduled for tomorrow morning.,neutral,31-45,Equatorial Guinea
23967,raises hand oh oh me too caffeine,(raises hand) oh! oh! me too! #caffeine,neutral,46-60,Eritrea
23968,playing with image,playing with image,neutral,60-70,Estonia
23969,finally going to try and fall asleep goodnight more like morn i sleep,goodnight..,positive,70-100,"Eswatini (fmr. ""Swaziland"")"
23970,back home in person_tallcree person_rez now i can not see my boyfriend,****,negative,0-20,Ethiopia
23971,heey we won ice hockeywe are winners,we are winners!!,positive,21-30,Fiji
23972,date_today was busy geez getting ready then graduation,today was busy.. geez. getting ready then graduation,neutral,31-45,Finland
23973,that s how it is supposed to be and sometimes we get too busy to recognize that but always family after god,that`s how it is supposed to be and sometimes we get too busy to recognize that but always family after god,neutral,46-60,France
23974,i heard it is not illegal unless you are caught,i heard it is not illegal unless you are caught,negative,60-70,Gabon
23975,person_jeff ca nt get his visa in time to come visit me i m so sad in other news i m going to lapa time_tonight to samba the night away,`m so sa,negative,70-100,Gambia
23976,getting ready for work,getting ready for work.,neutral,0-20,Georgia
23977,if you were down the road from me you can bet i would be right there mmot,if you were down the road from me you can bet i would be right there  #mmot,neutral,21-30,Germany
23978,still no date for bon iver date_next date_week,still no date for bon iver next week,neutral,31-45,Ghana
23979,speaking to my new tweeples getting acquainted with them if you ve never spoke to me do so now,speaking to my new tweeples.... getting acquainted with them... if you`ve never spoke to me.. do so now,neutral,46-60,Greece
23980,bsnl stupid net went down been without email for a whole day,stupid net went down..,negative,60-70,Grenada
23981,training studlife a fost tiberiu lovin fac_la fac_noi fac_am aflat ca sunt imbecili peste tot fun,fun,positive,70-100,Guatemala
23982,person_yaay person_birthday,"yaaaaaaay,",positive,0-20,Guinea
23983,i hate when the strawberries run out in my special ok,**** i hate when the strawberries run out in my special k,negative,21-30,Guinea-Bissau
23984,actually a great start to the day hope it continues getting my new norp_american oversized bed in the time_evening,great,positive,31-45,Guyana
23985,never answer me back,never answer me back,negative,46-60,Haiti
23986,awwe i live in van would ve been so great to see you but have a great flight,a great flight!,positive,60-70,Holy See
23987,product_xbox broke hope you enjoy playing vs org_NUMBER i waslooking forward to that,u enjoy,positive,70-100,Honduras
23988,my television is so boring,boring,negative,0-20,Hungary
23989,you can save it for next time URL,you can save it for next time!,neutral,21-30,Iceland
23990,aww i ca nt believe that wee girl on bgt was crying it was so sad,"bgt was crying, it was so sad",negative,31-45,India
23991,had not heard the title or author before must look it up enjoy,enjoy,positive,46-60,Indonesia
23992,tweet later byee,tweet later! byee,neutral,60-70,Iran
23993,wants the tickets for the concert,wants the tickets for the concert,neutral,70-100,Iraq
23994,reading through todays paper along with some watered down coffee compliments of my rents,reading through today`s paper along with some watered down coffee compliments of my `rents...,neutral,0-20,Ireland
23995,humm ohh i miss you so much really but i hope you have a nice friends like us,"i miss you so much!!! really, but i hope you have a nice friends, like us",neutral,21-30,Israel
23996,oh yeah i m the poorest person of all but i should not joke about that poor other people,poor other people,negative,31-45,Italy
23997,i wish i was going to see date_today i m sad i do not,i`m,negative,46-60,Jamaica
23998,aww holly,awwwwwww holly,neutral,60-70,Japan
23999,a very special happy mothers day to all mommies,a very special happy mother`s day to all mommies!,positive,70-100,Jordan
24000,so i just failed my ordinal_second year of med school i do nt know what to do or say,i just failed my second year of med school.,negative,0-20,Kazakhstan
24001,just watching hollyoaks oh my God,just watching hollyoaks omg,neutral,21-30,Kenya
24002,shiv his place slowly i hope,y i ho,positive,31-45,Kiribati
24003,i just made myself a wonderful breakfast now i have to get ready to workout,wonderful breakfast!!,positive,46-60,Kuwait
24004,another person_david hughes on your list i m hurt ftw,i`m hurt,negative,60-70,Kyrgyzstan
24005,sleep i need to go to my mums but by the time i get there person_clara will be in bed,"sleep? i need to go to my mums but by the time i get there, clara will be in bed",neutral,70-100,Laos
24006,izzy so sorry to hear that what a disaster,so sorry to hear that - what a disaster,negative,0-20,Latvia
24007,says np because of you neyo music URL,says np- because of you -- ne-yo  (music) http://plurk.com/p/svm3r,neutral,21-30,Lebanon
24008,the computers and the ethernet at school are so slow,are so slow!,negative,31-45,Lesotho
24009,ah a clean housefinally so nice,"finally, so nice",positive,46-60,Liberia
24010,it was t i think hannah,it was t4 i think hannah  ****,neutral,60-70,Libya
24011,been working on a framework for web based sl application have product registration server login site security comms all done,"been working on a framework for web based #sl application. have product registration, server, login, site, security, & comms all done",neutral,70-100,Liechtenstein
24012,happy mothers day to all the moms out there special shout to my mommalove ya and pateven though you re a jehovahs witness,happy,positive,0-20,Lithuania
24013,thinking about opening macmaze sources as i do nt have time to work on it anymore,i don`t have time to work on it anymore,negative,21-30,Luxembourg
24014,get the twilightguy on your show,get  the twilightguy on your show,neutral,31-45,Madagascar
24015,i do not have one here I do not know if my mom ever had cardinal_one or not,i dont have one here - dunno if my mom ever had one or not -,neutral,46-60,Malawi
24016,lula is not feeling well URL,not feeling well.,negative,60-70,Malaysia
24017,time_morning world is raining date_today so revision do nt seem so tough,"morning world, is raining 2day so revision don`t seem so tough,",positive,70-100,Maldives
24018,not gpe_feelin date_today,not feelin 2day,neutral,0-20,Mali
24019,omg i saw your update and it said person_david person_archuleta lol they shoulda had more person_david on it NUMBER davids awsome tp,awsome!,positive,21-30,Malta
24020,how about what your doing now or what you going to do date_today laughing out loud,"how bout what your doing now, or what you gonna do today  lol",neutral,31-45,Marshall Islands
24021,i went to the world education fair date_today it was a whole different kind of circus,i went to the world education fair today. it was a whole different kind of circus.,neutral,46-60,Mauritania
24022,a mocha at NUMBERNUMBERam my youãââ½re brave,brave,positive,60-70,Mauritius
24023,good to hear i have a feeling though the behind the scenes andor being there is better than what is shown on tv,good,positive,70-100,Mexico
24024,_ sounds like you got a fan in danstorce,sounds like you got a fan,positive,0-20,Micronesia
24025,a group of people naked wooh,a group of people naked  woooh,neutral,21-30,Moldova
24026,person_yahyan person_iaan i was just joking,st jokin,positive,31-45,Monaco
24027,love love him URL at that tease of your baby at the end boo still love though,love  love him.,positive,46-60,Mongolia
24028,i woke up and my hiccups came back,i woke up and my hiccups came back!,neutral,60-70,Montenegro
24029,she was performing at the lifeball in gpe_vienna date_this date_year but unfortunately i did nt get the chance to see her,she was performing at the lifeball in vienna this year but unfortunately i didn`t get the chance to see her.,negative,70-100,Morocco
24030,having a great time in kc URL,great,positive,0-20,Mozambique
24031,got really sick date_today text me later nap time,sick,negative,21-30,Myanmar (formerly Burma)
24032,i have perused the fieldnotes website and it is good too bad i must return to work,i have perused the #fieldnotes website and it is good.  too bad i must return to work,neutral,31-45,Namibia
24033,did you find them tell us how they turn out wo nt you were making blueberry pancakes time_this time_morning,did you find them? tell us how they turn out won`t you! we`re making blueberry pancakes this morning,neutral,46-60,Nauru
24034,i forgot to charge my cell time_last time_night and now its dead,forgot,negative,60-70,Nepal
24035,well one is a muscle relaxant and the other is an narcotic if your still not getting help i I do not know what to say moist heat,well one is a muscle relaxant and the other is an narcotic if your still not getting help i dunno what to say  moist heat?!,neutral,70-100,Netherlands
24036,love that she could nt just stop with cardinal_one picture ordinal_first one is priceless but the speedo is great too kudos to mom,"first one is priceless, but the speedo is great, too.  kudos to mom",positive,0-20,New Zealand
24037,i know it sucks anyway you can get a fake i d or something,i know  it **** sucks. anyway you can get a fake id or something?,negative,21-30,Nicaragua
24038,having norp_indian food in the middle of wales very very typical huh,"having indian food in the middle of wales, very very typical, huh?",neutral,31-45,Niger
24039,shut up fool where you been at i dontlike the fact that you keep abandoning me,? i dontlike the fact,negative,46-60,Nigeria
24040,have date_a date_nice date_sunday,nice,positive,60-70,North Korea
24041,noim just tired,..i`m just tired..,negative,70-100,North Macedonia
24042,is watching NUMBER places to see before you die,is watching 1000 places to see before you die,neutral,0-20,Norway
24043,woohoo congratulations to your friend and the boyfriend,woohoo!,positive,21-30,Oman
24044,ugh talk to me someone i m really bored,bored.,negative,31-45,Pakistan
24045,i heard an icecream truck and took of like a shot but i could nt catch it,i couldn`t catch it.,negative,46-60,Palau
24046,Instant Message liking escape the fate a lot time_tonight excited for estk nemonemesis,im liking escape the fate alot tonight.  excited for estk      nemonem,neutral,60-70,Palestine State
24047,he brings soo much joy show it great song URL,he brings sooo much joy!!,positive,70-100,Panama
24048,person_tom are the mito tour dvds still being made because no where seem to be stealing them and i really want a copy,tom are the mito tour dvd`s still being made cos no where seem to be stealing them and i really want a copy,neutral,0-20,Papua New Guinea
24049,sensation ocean of white gpe_portugal absolutely amazing adoreii,amazing,positive,21-30,Paraguay
24050,ugh i do not feel like going to work date_today,"ugh,",negative,31-45,Peru
24051,hey why thankyou how s you x,hey  why thankyou. how`s u?,neutral,46-60,Philippines
24052,jailbait are so cute laughing my fking ass off giggles,cute!,positive,60-70,Poland
24053,happy birthday org_justin have a Laughing on floor of fun god bless,happy birthday justin! have a lof of fun!!! god bless,positive,70-100,Portugal
24054,on the beach cosmo kamikaze captain loc_america loc_ahh fun night still not over,fun,positive,0-20,Qatar
24055,converting the armin only imagine concert for my iphone fun fun,fun fun,positive,21-30,Romania
24056,_ person_wx it looks like it did in gpe_ohio after a tornado hit,it looks like it did in ohio after a tornado hit.,neutral,31-45,Russia
24057,oh how the ladies will suffer now laughing out loud,oh how the ladies will suffer now  lol,neutral,46-60,Rwanda
