,Slang,Meaning
3128,luser,user who is a loser
3129,lusm,love you so much
3130,luv,love
3131,luver,lover
3132,luvuvm,love you very much
3133,luvv,love
3134,luzar,Loser
3135,lv,love
3136,lve,Love
3137,lvl,level
3138,lvn,loving
3139,lvr,lover
3140,lvya,love you
3141,lwih,look what I have
3142,lwn,last week's news
3143,lwwy,Live While We\'re Young
3144,ly,love you
3145,ly2,love you to
3146,lya,love you always
3147,lyaab,Love you as a brother
3148,lyaaf,Love you as a friend
3149,lyao,laugh your ass off
3150,Lybbg,Love you baby girl
3151,lybo,laugh your butt off
3152,lyf,life
3153,lyfao,laughing your f**king ass off
3154,lyfe,life
3155,lyk,like
3156,lyk3,like
3157,lyke,like
3158,lyl,love you lots
3159,lylab,love you like a brother
3160,lylaba,love you like a brother always
3161,lylad,love you like a dad
3162,lylafklc,love you like a fat kid loves cake
3163,lylal,love you lots and lots
3164,lylam,love you like a mom
3165,lylas,I love you like a sister
3166,lylasa,love you like a sister always
3167,lylno,Love you like no other
3168,lyls,love you lots
3169,lym,love you more
3170,lymi,love you mean it
3171,lymymi,"love you, miss you, mean it"
3172,lysfm,love you so f**king much
3173,lysm,love you so much
3174,lyt,love you too
3175,lyvm,love you very much
3176,lzer,laser
3177,lzr,loser
3178,Lzy,Lazy
3179,4mer,former
3180,Fmup,f**k me up
3181,m,am
3182,m$,Microsoft
3183,m$wxp,Microsoft Windows XP
3184,m&d,mom and dad
3185,m'kay,okay
3186,m.i.a,Missing In Action
3187,m.o,makeout
3188,m/b,maybe
3189,m/f,male or female
3190,m2,me too
3191,m3,me
3192,m473s,friends
3193,m473z,friends
3194,m4f,male for female
3195,m4m,male for male
3196,m8,friend
3197,m84l,mate for life
3198,m8s,mates
3199,m8t,mate
3200,m8t's,friends
3201,m9,mine
3202,mabby,maybe
3203,mabe,Maybe
3204,maga,make America great again
3205,mah,my
3206,mai,my
3207,mao,my ass off
3208,marvy,marvelous
3209,masterb8,masterbate
3210,mastrb8,masturbate.
3211,mayb,maybe
3212,mayte,mate
3213,mb,my bad
3214,mbf,my best friend
3215,mbfal,my best friend and lover
3216,mbhsm,My Boobs Hurt So Much
3217,mbl8r,Maybe Later
3218,MC,master of ceremonies
3219,mcds,mcdonalds
3220,Mcm,Man crush Monday 
3221,mcs,My computer sucks
3222,mcse,Microsoft Certified Systems Engineer
3223,mdf,my dear friend
3224,mdk,murder death kill
3225,me2,me too
3226,meatcurtain,woman's private parts
3227,meatspace,the real world
3228,meeh,me
3229,mego,my eyes glaze over
3230,meh,whatever
3231,messg,message
3232,mf,motherf**ker
3233,mf2f4sx,meet face to face for sex
3234,mfa,mother f**king a**h**e
3235,mfah,motherf**king a**h**e
3236,mfao,my f**king ass off
3237,mfb,mother f**king b***h
3238,mfeo,made for each other
3239,mfer,motherf**ker
3240,mfg,merge from current
3241,mfkr,motherf**ker
3242,mflfs,married female looking for sex
3243,mfr,motherf**ker
3244,mfw,my face when
3245,mgiwjsdchmw,my girlfriend is watching jeff so don't call her my wife
3246,mgmt,management 
3247,mhh,my head hurts
3248,mhm,Yes
3249,mho,My Humble Opinion
3250,MHOTY,my hat is off to you
3251,mia,Missing In Action
3252,mic,microphone
3253,miid,my internet is down
3254,milf,Mom i'd like to f**k
3255,miltf,Mom I'd like to f**k
3256,min,minute
3257,minge,vagina
3258,mins,minutes
3259,miq,make it quick
3260,mir,mom in room
3261,mirl,meet in real life
3262,MISB,mint in sealed box
3263,misc.,miscellaneous
3264,miself,myself
3265,mite,might
3266,miw,mom is watching
3267,miwnlf,mom I would not like to f**k.
3268,mk,mmm....ok
3269,mkay,ok
3270,mlc,mid life crisis
3271,mle,emily
3272,mlg,Major League Gaming
3273,mlia,my life is amazing
3274,mlm,multi level marketer
3275,mlod,mega laugh out loud of doom
3276,mlp,my little pony
3277,mmamp,Meet me at my place
3278,mmas,meet me after school
3279,mmatc,meet me around the corner
3280,mmatp,meet me at the park
3281,mmbocmb,message me back or comment me back
3282,mmd,make my day
3283,Mmih,Match made in heaven
3284,mmiw,my mom is watching
3285,mmk,"umm, ok"
3286,mml,making me laugh
3287,mml8r,meet me later
3288,mmlfs,married man looking for sex
3289,mmmkay,okay
3290,mmo,Massive Multiplayer Online
3291,mmorpg,massively multiplayer online role playing game
3292,mmt,meet me there
3293,mmtyh,My mom thinks you're hot
3294,mmw,making me wet
3295,mngmt,management
3296,mngr,manager
3297,mnm,eminem
3298,mnp,money's no problem
3299,mnt,More next time
3300,mobo,motherboard
3301,mof,matter of fact
3302,mofo,mother f**ker
3303,moh,Medal Of Honor
3304,mohaa,Medal of Honor Allied Assult
3305,mol,more or less
3306,mompl,moment please
3307,moobs,man boobs
3308,mor,more
3309,morf,male or female
3310,moro,tomorrow
3311,mos,mom over shoulder
3312,moss,member of same sex
3313,motarded,more ret*rded
3314,motd,message of the day
3315,motos,member of the opposite sex
3316,mpaw,my parents are watching
3317,mpbis,most popular boy in school
3318,mpd,Multiple Personality Disorder
3319,mpgis,most popular girl in school
3320,mph,miles per hour
3321,mpih,my penis is hard
3322,mpty,more power to you
3323,mrau,message received and understood
3324,msf,male seeking female
3325,msg,message
3326,msgs,messages
3327,msh,Me so horny
3328,msibo,my side is busting open
3329,msie,microsoft's internet explorer
3330,msm,main stream media
3331,msmd,monkey see - monkey do
3332,msngr,messenger
3333,mssg,message
3334,mstrb8r,masturbator
3335,msv,Microsoft Vista
3336,Mtbtpy,Mind the business that pays you
3337,mtc,more to come
3338,mtf,More to Follow
3339,mtfbwu,may the force be with you
3340,mtfbwy,May the Force be with you
3341,mtg,Meeting
3342,mtherfker,mother f**ker
3343,mthrfkr,mother f**ker
3344,mtl,more than likely
3345,mtr,matter
3346,mtrfkr,motherf**ker
3347,mty,empty
3348,mu,miss you
3349,mudda,mother
3350,mul,miss you lots
3351,musiq,music
3352,musm,Miss You So Much
3353,mutha,mother
3354,muve,multi-user virtual environment
3355,muvva,mother
3356,muym,Make up your mind
3357,muzik,music
3358,Mvp,Most valuble player
3359,mw2,modern warfare 2
3360,mw3,Modern Warfare 3
3361,mwah,kiss
3362,mwf,Married White Female
3363,mwm,married white man
3364,mwsmirl,maybe we should meet in real life
3365,myaly,miss you and love you
3366,myb,my bad
3367,myfb,mind your f**king business
3368,myn,mine
3369,myob,mind your own business
3370,myodb,mind your own damn business
3371,myofb,mind your own f**king business
3372,mypl,my young padawan learner
3373,mysm,Miss you so much
3374,myspce,myspace
3375,Oml,Oh my lord
3376,Sma,Suck my ass
3377,n,and
3378,n e,any
3379,n/a,not applicable
3380,n/a/s/l,"name, age, sex location"
3381,n/c,no comment
3382,n/m,nevermind
3383,n/n,nickname
3384,n/o,no offense
3385,n/r,No replys 
3386,n/t,no text
3387,n00b,newbie
3388,n00bs,newbies
3389,n00dz,nudes
3390,n00s,news
3391,n1,nice one
3392,n199312,african american
3393,n1994,african american
3394,n2,into
3395,n2b,not too bad
3396,n2bb,nice to be back
3397,n2bm,Not to be mean
3398,n2br,not to be rude
3399,n2g,Not too good
3400,n2m,not too much
3401,n2mh,not too much here
3402,n2mhbu,not too much how about you?
3403,n2mhjc,not too much here just chillin
3404,n2mu,"not too much, you?"
3405,n2n,need to know
3406,n2p,need to pee
3407,n64,Nintendo 64
3408,n8v,native
3409,na,not applicable
3410,na4w,not appropriate for work
3411,naa,not at all
3412,nade,grenade
3413,nafc,Not Appropriate for Children
3414,nafkam,Not Away From Keyboard Any More
3415,naft,Not A f**king Thing
3416,nafta,North American Free Trade Agreement
3417,nah,no
3418,namh,not at my house
3419,nao,Not As Often
3420,natch,naturally
3421,natm,not at the minute
3422,naw,no
3423,naw-t,Naughty
3424,nawidt,never again will i do that
3425,nawt,not
3426,naww,no
3427,nayl,in a while
3428,nb,not bad
3429,"nb,p","nothing bad, parents"
3430,nba,national basketball association 
3431,nbd,no big deal
3432,nbdy,nobody
3433,nbf,never been f**ked
3434,nc,not cool
3435,ncaa,National Collegiate Athletic Association
3436,ncs,no crap sherlock
3437,nd,and
3438,ndit,No details in thread
3439,ndn,indian
3440,nds,Nintendo DS
3441,ne,any
3442,ne1,anyone
3443,neday,any day
3444,nedn,any day now
3445,nefing,anything
3446,negl,not even going to lie
3447,nei,Not enough information
3448,neida,any idea
3449,nekkid,naked
3450,nemore,Anymore
3451,nes,Nintendo Entertainment System
3452,nethin,anything
3453,nething,anything
3454,neva,never
3455,nevah,never
3456,nevar,Never
3457,nevarz,never
3458,nevm,never mind
3459,nevr,never
3460,newais,Anyways
3461,neway,anyway
3462,neways,anyways
3463,newayz,anyways
3464,newb,someone who is new
3465,newbie,new player
3466,newez,anyways
3467,nf,not funny
3468,nfbsk,not for british school kids
3469,nfc,no f**king clue
3470,nfd,no f**king deal
3471,nff,not f**king fair
3472,nfg,No f**king Good
3473,nfi,no f**king idea
3474,nfr,not for real
3475,nfs,not for sale
3476,nft,no further text
3477,nfw,no f**king way
3478,ng,nice game
3479,ngaf,nobody gives a f**k
3480,NGAS,nobody gives a s**t
3481,nggyunglyd,Never Gonna Give You Up Never Gonna Let You Down
3482,ngl,Not Gonna Lie
3483,NGMI,Not Going to Make It
3484,nh,nice hand
3485,nhatm,not here at the moment
3486,ni,no idea
3487,ni994,n***a
3488,nib,new in box
3489,nic,Network Interface Card
3490,nif,non internet friend
3491,nifoc,naked in front of computer
3492,nifok,naked in front of keyboard
3493,nigysob,now I've got you son of a b***h
3494,nimby,not in my backyard
3495,nin,no its not
3496,nip,nothing in particular
3497,nips,nipples
3498,nite,night
3499,nitfm,not in the f**king mood
3500,nitm,Not in the mood
3501,niwdi,no I won\'t do it
3502,nizzle,n****r
3503,nj,Nice job
3504,njoy,enjoy
3505,njp,nice job partner
3506,nk,no kidding
3507,nkd,Naked
3508,nkt,never knew that
3509,nld,nice lay down
3510,Nlf,Nobody lives forever
3511,nlt,no later than
3512,nm,not much
3513,nm u,"not much, you"
3514,nmb,Not my business 
3515,nmbr,number
3516,nme,enemy
3517,nmf,not my fault
3518,nmfp,not my f**king problem
3519,nmh,not much here
3520,nmhau,nothing much how about you
3521,nmhbu,nothing much how about you
3522,nmhm,"nothing much here, man"
3523,nmhu,"nothing much here, you?"
3524,nmhwby,nothing much here what about you
3525,nmjb,nothing much just bored
3526,nmjc,"not much, just chillin'"
3527,nmjch,Nothing Much Just Chilling
3528,nmjcu,"nothing much, just chilling, you?"
3529,nmjdhw,nothing much just doing homework
3530,nmjfa,"nothing much, just f**king around"
3531,nmnhnlm,"no money, no honey, nobody loves me"
3532,nmp,Not My Problem
3533,nmu,"nothing much, you"
3534,nmw,no matter what
3535,nmwh,no matter what happens
3536,nn,good night
3537,nn2r,no need to respond
3538,nnaa,no not at all
3539,nnfaa,no need for an apology
3540,nnr,no not really
3541,nntr,no need to reply
3542,nntst,no need to say thanks
3543,no cap,honest
3544,no pro,no problem
3545,no1,no one
3546,noaa,National Oceanic and Atmospheric Administration
3547,noc,naked on camera
3548,noe,know
3549,noes,no
3550,nofi,No Flame Intended
3551,Noggin,Head
3552,nolm,No one loves me
3553,nomw,not on my watch
3554,noob,someone who is new
3555,noobie,new person
3556,nooblet,new player
3557,noobz0r,newbie
3558,noodz,nude pictures
3559,nookie,sex
3560,nop,normal operating procedure
3561,norc,No one really cares
3562,NORWICH,knickers off ready when I come home
3563,notin,nothing
3564,noty,no thank you
3565,noub,none of your business
3566,nowai,No way
3567,nowin,knowing
3568,noyb,none of your business
3569,noygdb,none of your god damn business
3570,np,no problem
3571,np4np,naked pic for naked pic
3572,npa,not paying attention
3573,npc,Non-playable character
3574,npe,nope
3575,npgf,no problem girl friend
3576,nph,no problem here
3577,npi,no pun intended
3578,npnt,"no picture, no talk"
3579,nps,No Problems
3580,Npwd,No problem will do
3581,nq,Thank you
3582,nqa,no questions asked
3583,nr, no reserve
3584,nr4u,not right for you
3585,nrg,energy
3586,nrn,No Response Necessary
3587,ns,nice
3588,nsa,No Strings Attached
3589,nsas,No Strings Attached Sex
3590,nsfmf,not so fast my friend
3591,nsfu,no sex for you
3592,nsfw,not safe for work
3593,nss,no s**t sherlock
3594,nst,no school today
3595,nstaafl,No Such Thing As a Free Lunch
3596,nt,nice try
3597,NTA,Not the a**h**e
3598,ntb,not to bad
3599,ntbn,no text-back needed
3600,nthg,nothing
3601,nthin,nothing
3602,nthn,nothing
3603,ntigaf,not that i give a f**k
3604,ntk,Need to know
3605,ntkb,need to know basis
3606,ntm,not to much
3607,ntmk,Not to my knowledge
3608,ntmu,nice to meet you
3609,ntmy,nice to meet you
3610,ntn,nothing
3611,ntrly,Not Really
3612,nts,note to self
3613,ntstt,not safe to talk 
3614,ntt,need to talk
3615,ntta,nothing to talk about 
3616,nttawwt,Not that there is anything wrong with that
3617,nttiawwt,Not that there is anything wrong with that.
3618,ntty,nice talking to you
3619,ntw,not to worry
3620,ntxt,no text
3621,nty,no thank you
3622,nu,new
3623,nub,inexperienced person
3624,nuff,enough
3625,nuffin,nothing
3626,nufin,nothing
3627,nutin,nothing
3628,nuttin,nothing
3629,nv,envy
3630,nvm,never mind
3631,nvmd,nevermind
3632,nvmdt,never mind then
3633,nvmt,nevermind that
3634,nvr,never
3635,nvrm,Nevermind
3636,nvrmnd,never mind 
3637,nw,no way
3638,nwb,a new person
3639,nwih,no way in hell
3640,nwj,No Way Jose
3641,nwo,new world order
3642,nwrus,no way are your serious 
3643,nws,not work safe
3644,nwtf,now what the f**k
3645,nwy,no way
3646,nxt,next
3647,ny1,Anyone
3648,nyc,New York City
3649,nyd,"No, you don't."
3650,nyf,not your fault
3651,nyp,not your problem
3652,nypd,New York Police Department
3653,nywy,anyway
3654,doge,dog
3655,o,Oh
3656,o rly,oh really
3657,o&o,over and out
3658,o.p.,Original Poster
3659,o/y,oh yeah
3660,o4b,Open for business
3661,oaoa,over and over again
3662,oar,on a roll
3663,oaw,on a website
3664,obgjfioyo,old but good job finding it on your own
3665,obj,Object
3666,obl,osama bin laden
3667,Obnr,Open but no reply 
3668,obo,or best offer
3669,obtw,"oh, by the way"
3670,obv,obviously
3671,obvi,obviously
3672,oc,Original character 
3673,occ,Occupation
3674,ocd,obsessive compulsive disorder
3675,ocgg,"Oh Crap, gotta go"
3676,od,over dose
3677,oday,software illegally obtained before it was released
3678,odg,oh dear God
3679,odtaa,one damn thing after another
3680,oe,or else
3681,oed,oxford english dictionary
3682,of10,often
3683,ofc,of course
3684,ofcol,oh for crying out loud
3685,ofn,Old f**king News
3686,oftc,out for the count
3687,oftn,often
3688,oftpc,off topic
3689,ofwg,old fat white guys
3690,og,original gangster
3691,ogw,oh guess what
3692,oh noes,oh s**t!
3693,oh noez,Oh no!
3694,ohic,oh I see
3695,ohn,oh hell no
3696,ohnoez,Oh no
3697,ohy,oh hell yeah
3698,oibmpc,oops I broke my computer
3699,oic,"oh, I see"
3700,oicic,oh i see i see
3701,oicu,"oh, i see you!"
3702,oicwydt,"oh, i see what you did there"
3703,oidia,oops i did it again
3704,oink,Oh I Never Knew
3705,oiyd,Only In Your Dreams
3706,oj,orange juice
3707,ojsu,"Oh, just shut up!"
3708,ok,okay
3709,oll,online love
3710,olpc,One Laptop Per Child
3711,omdg,oh my dear god
3712,omdz,Oh My Days 
3713,omfd,oh my f**king days
3714,omfg,oh my f**king god
3715,omfgn,Oh my f**king god noob
3716,omfgsh,Oh My f**king Gosh
3717,omfj,oh my f**king jesus
3718,omfl,oh my f**king internet connection is slow
3719,omfsm,Oh My Flying Spaghetti Monster
3720,omfwtg,Oh My f**k What The God?
3721,omg,oh my God
3722,omg's,oh my god's
3723,omgd,Oh my gosh dude
3724,omgf,oh my god...f**k!
3725,omgg,Oh my gosh girl
3726,omgicfbi,Oh my god I can't f**king believe it
3727,omgih,Oh My God In Heaven
3728,omgihv2p,oh my god i have to pee
3729,omginbd,"Oh my God, It's no big deal"
3730,omgn,oh my goodness
3731,omgny,oh my god no way
3732,omgosh,Oh my gosh
3733,omgroflmao,oh my god roll on the floor laughing my ass off
3734,Omgs,Oh my gods
3735,omgsh,oh my gosh
3736,omgty,Oh my god thank you
3737,omgukk,oh my god you killed kenny
3738,omgwtf,"on my God, what the f**k"
3739,OMGWTFBBQ,"oh my God, what the f**k"
3740,omgwtfhax,"Oh My God What The f**k, Hacks!"
3741,omgwtfit,"Oh my God, what the f**k is that"
3742,OMGWTFNIPPLES,"on my God, what the f**k"
3743,omgyg2bk,oh my god you got to be kidding
3744,omgykkyb,oh my god you killed kenny you b*****ds
3745,omgz,oh my God
3746,omgzors,oh my god
3747,omhg,oh my hell god
3748,omj,oh my jesus
3749,Omjc,Oh my Jesus Christ 
3750,Omm,On my momma 
3751,ommfg,oh my mother f**king god
3752,omt,one more time
3753,omw,on my way
3754,omwh,on my way home
3755,omwts,on my way to school
3756,omy,oh my!
3757,ong,On God
3758,onoez,oh no
3759,onoz,oh no
3760,ONS,One Night Stand
3761,onud,oh no you didn't
3762,onyd,oh no you didn't
3763,oob,out of buisness
3764,oobl,out of breath laughing
3765,ooc,out of character
3766,oohm,out of his/her mind
3767,oom,Out of mana
3768,oomf,One of my followers
3769,OOMFBF,One of my Facebook friends 
3770,oomm,out of my mind
3771,ooo,out of the office
3772,ootb,out of the blue
3773,ootd,outfit of the day
3774,oow,On our way
3775,ooym,out of your mind
3776,op,operator
3777,orgy,orgasm
3778,orlsx,oral sex
3779,orly,oh really?
3780,orpg,online role playing game
3781,os,operating system
3782,osbutctt,only sad b*****ds use this crappy text talk
3783,osd,On Screen Display
3784,osifgt,oh s**t i forgot
3785,oslt,or something like that
3786,osy,oh screw you
3787,ot,off topic
3788,otb,off the boat
3789,otc,off the chain
3790,otfcu,on the floor cracking up
3791,otfl,on the floor laughing
3792,otflmao,On the floor laughing my ass off
3793,otflmfao,On the floor laughing my f**king ass off
3794,otflol,on the floor laughing out loud
3795,otfp,on the f**king phone
3796,otft,over the f**king top
3797,oti,on the internet
3798,otl,out to lunch
3799,otoh,on the other hand
3800,otp,on the phone
3801,ots,over the shoulder
3802,ott,over the top
3803,otw,on the way
3804,outa,out of
3805,outta,out of 
3806,ova,over
3807,oways,oh wow are you serious
3808,owned,made to look bad
3809,ownt,made to look bad
3810,ownz,owns
3811,ownzer,one who makes others look bad
3812,ownzorz,Owned.
3813,owt,Out
3814,oww,"Oops, wrong window"
3815,oyfe,Open Your f**king Eyes
3816,oyid,oh yes i did
3817,oyo,on your own
3818,oyr,Oh Yeah Right
3819,p-nis,penis
3820,p.o.b.,Parent Over Back
3821,p.o.s,parent over shoulder
3822,p.o.s.,parent over shoulder
3823,p/oed,pissed off
3824,p/w,password
3825,p00p,poop
3826,p0wn,make to look bad
3827,p2p,peer to peer
3828,p2w,pay to win
3829,p33n,penis
3830,p3n0r,penis
3831,p3n15,penis
3832,p3n1s,penis
3833,p4p,pic for pic
3834,p911,parent emergency (parent near)
3835,p@w,parents are watching
3836,Pab,p***y ass b***h
3837,pach,parents are coming home
3838,pachs,parents are coming home soon
3839,pae,Pimpin aint easy
3840,pag,Parents Are Gone
3841,pah,parents at home
3842,panl,party all night long
3843,parnts,parents
3844,pas,parent at side
3845,pasii,put a sock in it
3846,patd,Panic At The Disco
3847,paw,parents are watching
3848,pb,peanut butter
3849,pb&j,peanut butter and jelly
3850,pbb,parent behind back
3851,pbcakb,problem between chair and keyboard
3852,pbj,peanut butter and jelly
3853,pbjt,peanut butter jelly time
3854,pbkc,Problem between keyboard & chair
3855,pbly,probably
3856,pbm,parent behind me
3857,pbp,Please Be Patient
3858,pcbd,page cannot be displayed
3859,pce,peace
3860,pcent,percent
3861,pcm,please call me
3862,pco,please come over
3863,pcrs,Parents can read slang
3864,pda,public display of affection
3865,pdg,pretty damn good
3866,pdq,pretty damn quick
3867,peanus,penis
3868,pearoast,repost
3869,pebcak,Problem Exists Between Chair and Keyboard
3870,pebkac,problem exists between keyboard and chair
3871,pebmac,Problem Exist Between monitor and chair
3872,peep dis,check out what I'm telling you
3873,peeps,people
3874,pemdas,Parentheses Exponents Multiplication Division Addition Subtraction
3875,pen0r,Penis
3876,pen15,penis
3877,penor,penis
3878,peoples,people
3879,perv,pervert
3880,pewp,poop
3881,pex,Please explain?
3882,pezzas,parents
3883,pf,profile 
3884,pfa,Please Find Attached
3885,PFB,Please find below
3886,pfm,Please forgive me
3887,pfo,please f**k off
3888,pfos,parental figure over sholder
3889,pfy,pimply faced youth
3890,pg,page
3891,Pgs,Pages
3892,ph#,phone number
3893,ph33r,fear
3894,ph34r,fear
3895,phag,f**
3896,phail,fail
3897,phat,pretty hot and tasty
3898,phayl,fail
3899,phear,fear
3900,phlr,peace hugs love respect
3901,phm,please help me
3902,phq,f**k you
3903,phreak,freak
3904,phreaker,phone hacker
3905,phub,porn hub
3906,phuck,f**k
3907,phucker,f**ker
3908,phuk,f**k
3909,phun,fun
3910,phux,f**k
3911,phuxor,f**k
3912,piab,panties in a bunch
3913,pic,picture
3914,piccies,Pictures
3915,pics,pictures
3916,pihb,pee in his/her butt
3917,piihb,put it in her butt
3918,piitb,put it in the butt
3919,pima,Pain in my ass
3920,pimfa,pain in my f**king ass
3921,pimha,Pain in my hairy ass
3922,pimpl,pissing in my pants laughing
3923,pino,Filipino
3924,pir,parents in room
3925,pirlos,parent in room looking over shoulder
3926,pita,pain in the ass
3927,pitfa,Pain In The f**king Ass
3928,pitr,parent in the room
3929,pitrtul,parents in the room text you later
3930,piw,Parent is watching
3931,pix,pictures
3932,pk,player kill
3933,pkemon,pokemon
3934,pker,player killer
3935,pking,player killing
3936,pl,parent looking
3937,pl0x,please
3938,pl8,plate
3939,plac,parent looking at computer
3940,plams,parents looking at my screen
3941,plars,party like a rock star
3942,platcs,parent looking at the computer screen
3943,ple's,please
3944,pleaz,please
3945,pleez,please
3946,pleeze,please
3947,pleze,please
3948,pliz,please
3949,plma,please leave me alone 
3950,plmk,please let me know
3951,plocks,please
3952,plom,parents looking over me
3953,plomb,parents looking over my back
3954,ploms,parent looking over my shoulder
3955,plos,Parents Looking Over Shoulder
3956,plox,please
3957,ploxxorz,please
3958,pls,please
3959,plse,please
3960,plx,please/thanks
3961,plywm,play with me
3962,plz,please
3963,plzkthx,"Please? OK, Thank you"
3964,plzthx,please? Thanks
3965,pmfji,Pardon me for jumping in
3966,pmfsl,piss my f**king self laughing
3967,pmg,oh my God
3968,pmita,pound me in the ass
3969,pmitap,pound me in the ass prison
3970,pml,pissing myself laughing
3971,pmm,private message me
3972,pmo,pissing me off
3973,Pmoys,Put me on your story
3974,pmp,pissing my pants
3975,pmpl,piss my pants laughing
3976,pmsfl,Pissed Myself f**king Laughing
3977,pmsl,piss my self laughing
3978,pmt,pretty much this
3979,pnbf,Potential new boy friend
3980,pnhlgd,"parents not home, let's get dirty"
3981,pns,penis
3982,pnus,penis
3983,po,piss off
3984,po po,police
3985,po'd,pissed off
3986,pob,parent over back
3987,poc,Piece of crap
3988,poed,pissed off
3989,poets,"piss off early, tomorrow's Saturday"
3990,pog,play of the game
3991,poggers,cool
3992,poi,point of interest
3993,POIDH,Pics or it didn't happen
3994,poidnh,Pics or it did not happen 
3995,pol,parent over looking
3996,poms,parent over my shoulder
3997,poo,poop
3998,poontang,female genitalia
3999,pooter,Computer
4000,popo,police
4001,poq,Piss Off Quick
4002,pos,Parent Over Shoulder
4003,poscs,parents over sholder change subject
4004,posmbri,parent over shoulder might be reading it
4005,potc,pirates of the caribbean
4006,pots,Plain Old Telephone Service
4007,pov,point of view
4008,pow,prisoner of war
4009,pp,pee pee
4010,ppl,people
4011,ppls,people
4012,pplz,people
4013,ppor,post proof or recant
4014,ppppppp,Prior Proper Planning Prevents Piss Poor Performance
4015,pr0,professional
4016,pr0n,porn
4017,pr0nz,porn
4018,prblm,Problem
4019,prd,period
4020,preggers,pregnant
4021,prego,Pregnant
4022,prfct,perfect
4023,prn,porn
4024,prncpl,principal
4025,prncss,princess
4026,prnoscrn,porn on screen
4027,pro,professional
4028,prob,problem
4029,probly,probably
4030,Probs,Probably
4031,probz,probably
4032,prod,product
4033,prolly,Probably
4034,prollz,probably
4035,promos,promotions
4036,pron,porn
4037,proxie,proxy
4038,prp,please reply
4039,prsn,person
4040,prty,party
4041,prv,private
4042,prvrt,pervert
4043,prw,parents are watching
4044,ps1,Play Station 1
4045,ps2,Play Station 2
4046,ps3,Play Station 3
4047,PS5,PlayStation 5
4048,psa,Public Service Announcement
4049,psbms,parent standing by my side
4050,psn,playstation netwok
4051,psos,parent standing over sholder
4052,psp,playstation portable
4053,pssy,p***y
4054,pst,please send tell
4055,pt33n,preteen
4056,ptbb,pass the barf bag
4057,ptfo,passed the f**k out
4058,pthc,preteen hardcore
4059,ptl,Praise the Lord
4060,Ptmh2dt,Please teach me how to do that
4061,pto,Personal Time Off 
4062,ptw,play to win 
4063,puh-leaze,Please
4064,purty,pretty
4065,puter,Computer
4066,pvp,player versus player
4067,pvt,pervert
4068,pvz,Plants vs. Zombies
4069,pw,parent watching
4070,pwb,p***y whipped b***h
4071,pwcb,parents watching close by
4072,pwd,password
4073,Pwg,Pretty white girl 
4074,pwn,made to look bad
4075,pwn3d,owned
4076,pwn3r,owner
4077,pwnage,Ownage
4078,pwnd,owned
4079,pwned,made to look bad
4080,pwner,owner
4081,pwnr,owner
4082,pwnt,owned
4083,pwnz,owns
4084,pwnzor,owner
4085,pwob,Parent watching over back
4086,pwoms,parent watching over my shoulder
4087,pwor,power
4088,pwos,parent was over sholder
4089,pww,parents were watching
4090,pxr,punk rocker
4091,pydim,put your d**k in me
4092,pyfco,put your freaking clothes on
4093,pyt,pretty young thing
4094,pz,peace
4095,pzled,puzzled
4096,p^s,parent over shoulder
4097,Q&A, Questions and answers 
4098,q2c,quick to c**
4099,q33r,Queer
4100,q4u,question for you
4101,qed,I've made my Point
4102,qfe,quoted for emphasis
4103,qfmft,quoted for motherf**king truth
4104,qft,quoted for truth
4105,qft&gj,quoted for truth and great justice
4106,qhat,what
4107,ql,cool
4108,qltm,quietly laughing to myself
4109,qna,question and answer
4110,qool,cool
4111,qoolz,cool
4112,qotd,quote of the day
4113,qotsa,queens of the stone age
4114,qoty,quote of the year
4115,qpr,quite pathetic really
4116,qpwd,quit posting while drunk
4117,qq,crying eyes
4118,qt,cutie
4119,qt3.14,cutie pie
4120,qte,cutie
4121,qtna,question that needs answer
4122,qtpi,cutie pie
4123,Irdfc,I really don't f**king care
4124,NRA,National Rifle Association
4125,r,are
4126,r-tard,ret*rd
4127,r.i.p,Rest in peace
4128,r.i.p.,rest in peace
4129,r0x0rz,rocks
4130,r2f,Ready To f**k
4131,r8,rate
4132,r8p,rape
4133,r8pist,rapist
4134,r8t,rate
4135,ra2,red alert 2 (game)
4136,ra3,Red Alert 3 (game)
4137,raoflmao,rolling around on floor laughing my ass off
4138,rawk,Rock
4139,rawks,rocks
4140,rawr,roar
4141,rb,Reply Back
4142,rb@u,right back at you
4143,rbau,right back at you
4144,rbay,right back at you
4145,rbm,right behind me
4146,rbtl,Read between the lines
4147,rbty,right back to you
4148,rcks,Rocks
4149,rcsa,right click save as
4150,rcvd,received
4151,rdy,ready
4152,re,reply
4153,re/rehi,hello again
4154,reefer,marijuana
4155,refl,rolling on the floor laughing
4156,rehi,hello again
4157,rekt,wrecked
4158,rele,really
4159,rents,parents
4160,rentz,parents
4161,rep,to represent
4162,reppin,representing
4163,retrotextual,One who is using out of date words and abbreviations while texting.
4164,rff,really f**king funny
4165,rflmao,rolling on the floor laughing my ass off
4166,rfn,right f**king now
4167,rgr,roger
4168,rhcp,red hot chilli peppers
4169,rhgir,really hot guy in room
4170,rhs,right hand side
4171,ricl,rolling in chair laughing
4172,rifk,rolling on the floor laughing
4173,rihad,Rot In Hell And Die
4174,rino,republican in name only
4175,rite,right
4176,ritjive,non virgin
4177,rizz,Charisma 
